fastq_name	adapter_trimmed	leading_n_trimmed	qual_trimmed	remaining_n_found	too_short	trailing_n_trimmed	encoding	removed_seqs	valid_seqs	trimmed_seqs	total_seqs	valid_fraction	qual_trimmed_fraction
V350018248_L02_1_1	14835486	40356	1448715	3325	2607098	1102	33	2610423	25678988	13374826	28289411	0.9077243778599703	0.05121050417062412
V350018248_L02_2_1	11262377	27916	951585	2662	2004139	222	33	2006801	17972329	9971645	19979130	0.8995551357841908	0.04762895081017041
V350018248_L02_3_1	12091433	43416	1435398	2926	1953888	885	33	1956814	26223937	11343411	28180751	0.930562035057192	0.05093540622817327
V350018248_L02_4_1	17062815	43124	1350044	3472	2458191	888	33	2461663	30855074	15655663	33316737	0.9261133225621705	0.04052149524726866
V350018248_L02_13_1	23962027	89015	3086544	5559	3930156	2071	33	3935715	52495954	22677757	56431669	0.9302569803491015	0.054695245678450514
V350018248_L02_14_1	14911999	35610	1129271	3794	2248524	446	33	2252318	24505160	13532837	26757478	0.9158247275770908	0.04220394014712448
V350018248_L02_15_1	10772432	30996	938502	2474	1561775	709	33	1564249	22250404	10032598	23814653	0.934315692107712	0.03940859436415051
V350018248_L02_16_1	16513661	47329	1605605	3875	2610133	927	33	2614008	28399370	15118131	31013378	0.9157135349783567	0.05177136782713576
V350018248_L02_25_1	54423	128	2634	9	10085	1	33	10094	79047	46381	89141	0.8867636665507455	0.029548692520837774
V350018248_L02_26_1	16140699	53881	1861299	4264	2210053	936	33	2214317	32404614	15469730	34618931	0.9360373952621471	0.05376535167998111
V350018248_L02_27_1	23498385	61936	2066064	4905	3949297	889	33	3954202	37793661	21005774	41747863	0.9052837267383004	0.0494890960047464
V350018248_L02_28_1	15876081	44478	1443278	3576	3210216	1168	33	3213792	26055371	13767210	29269163	0.8901987050330069	0.04931053204357091
V350018248_L02_29_1	19151023	64868	2165789	5019	3236173	1477	33	3241192	42348702	17713760	45589894	0.9289054719012946	0.04750590119819099
V350018248_L02_30_1	11401457	32315	1004939	2059	1694067	651	33	1696126	20337927	10531045	22034053	0.923022514287317	0.04560844979359903
V350018248_L02_31_1	21609502	45937	1258764	3159	2109039	872	33	2112198	29347181	20287187	31459379	0.9328595138511794	0.040012360065975874
V350018248_L02_32_1	9680514	28509	898640	2603	1571824	550	33	1574427	17308099	8845464	18882526	0.9166198950288749	0.0475910903022191
V350018248_L03_1_1	15386095	22551	797354	2635	2774728	289	33	2777363	17505415	13075316	20282778	0.8630679190000502	0.03931187335383743
V350018248_L03_3_1	15384031	30755	1115512	2121	1792236	177	33	1794357	24020449	14384371	25814806	0.9304911685177878	0.043212100838565276
V350018248_L03_4_1	15865188	38035	1575295	3163	2462791	259	33	2465954	32621226	14674840	35087180	0.9297192307845772	0.04489659756070451
