reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	multimapped	multimapped_percentage	fastq_name	Mismatches
25678988.0	18083859.0	70.42	7595129.0	29.58	76676.0	0.3	V350018248_L02_1_1	0
25678988.0	21084687.0	82.11	4594301.0	17.89	78197.0	0.3	V350018248_L02_1_1	1
17972329.0	12303429.0	68.46	5668900.0	31.54	60415.0	0.34	V350018248_L02_2_1	0
17972329.0	14441515.0	80.35	3530814.0	19.65	61635.0	0.34	V350018248_L02_2_1	1
26223937.0	18995036.0	72.43	7228901.0	27.57	61205.0	0.23	V350018248_L02_3_1	0
26223937.0	21415410.0	81.66	4808527.0	18.34	62778.0	0.24	V350018248_L02_3_1	1
30855074.0	22183182.0	71.89	8671892.0	28.11	69450.0	0.23	V350018248_L02_4_1	0
30855074.0	25542657.0	82.78	5312417.0	17.22	71280.0	0.23	V350018248_L02_4_1	1
52495954.0	37939976.0	72.27	14555978.0	27.73	161588.0	0.31	V350018248_L02_13_1	0
52495954.0	42711385.0	81.36	9784569.0	18.64	165037.0	0.31	V350018248_L02_13_1	1
24505160.0	16957944.0	69.2	7547216.0	30.8	63095.0	0.26	V350018248_L02_14_1	0
24505160.0	19896699.0	81.19	4608461.0	18.81	64361.0	0.26	V350018248_L02_14_1	1
22250404.0	15897739.0	71.45	6352665.0	28.55	49232.0	0.22	V350018248_L02_15_1	0
22250404.0	18025640.0	81.01	4224764.0	18.99	50120.0	0.23	V350018248_L02_15_1	1
28399370.0	20035933.0	70.55	8363437.0	29.45	64035.0	0.23	V350018248_L02_16_1	0
28399370.0	23208245.0	81.72	5191125.0	18.28	65579.0	0.23	V350018248_L02_16_1	1
79047.0	49399.0	62.49	29648.0	37.51	139.0	0.18	V350018248_L02_25_1	0
79047.0	57105.0	72.24	21942.0	27.76	141.0	0.18	V350018248_L02_25_1	1
32404614.0	23419236.0	72.27	8985378.0	27.73	59871.0	0.18	V350018248_L02_26_1	0
32404614.0	26899768.0	83.01	5504846.0	16.99	61714.0	0.19	V350018248_L02_26_1	1
37793661.0	27032610.0	71.53	10761051.0	28.47	126134.0	0.33	V350018248_L02_27_1	0
37793661.0	30746037.0	81.35	7047624.0	18.65	129184.0	0.34	V350018248_L02_27_1	1
26055371.0	18201008.0	69.86	7854363.0	30.14	55035.0	0.21	V350018248_L02_28_1	0
26055371.0	20938831.0	80.36	5116540.0	19.64	56472.0	0.22	V350018248_L02_28_1	1
42348702.0	29452958.0	69.55	12895744.0	30.45	129294.0	0.31	V350018248_L02_29_1	0
42348702.0	33728199.0	79.64	8620503.0	20.36	132330.0	0.31	V350018248_L02_29_1	1
20337927.0	13418667.0	65.98	6919260.0	34.02	44189.0	0.22	V350018248_L02_30_1	0
20337927.0	15477651.0	76.1	4860276.0	23.9	45109.0	0.22	V350018248_L02_30_1	1
29347181.0	22157510.0	75.5	7189671.0	24.5	75478.0	0.26	V350018248_L02_31_1	0
29347181.0	25569465.0	87.13	3777716.0	12.87	76992.0	0.26	V350018248_L02_31_1	1
17308099.0	11346499.0	65.56	5961600.0	34.44	45748.0	0.26	V350018248_L02_32_1	0
17308099.0	13088525.0	75.62	4219574.0	24.38	46571.0	0.27	V350018248_L02_32_1	1
17505415.0	12622251.0	72.1	4883164.0	27.9	79662.0	0.46	V350018248_L03_1_1	0
17505415.0	15062324.0	86.04	2443091.0	13.96	81123.0	0.46	V350018248_L03_1_1	1
24020449.0	18411143.0	76.65	5609306.0	23.35	71295.0	0.3	V350018248_L03_3_1	0
24020449.0	21040611.0	87.59	2979838.0	12.41	72768.0	0.3	V350018248_L03_3_1	1
32621226.0	25329295.0	77.65	7291931.0	22.35	88891.0	0.27	V350018248_L03_4_1	0
32621226.0	28706159.0	88.0	3915067.0	12.0	91026.0	0.28	V350018248_L03_4_1	1
37346049.0	29157294.0	78.07	8188755.0	21.93	122467.0	0.33	V350018248_L03_13_1	0
37346049.0	33201891.0	88.9	4144158.0	11.1	125260.0	0.34	V350018248_L03_13_1	1
34702399.0	26490613.0	76.34	8211786.0	23.66	76780.0	0.22	V350018248_L03_14_1	0
34702399.0	30830138.0	88.84	3872261.0	11.16	78668.0	0.23	V350018248_L03_14_1	1
32390416.0	25216051.0	77.85	7174365.0	22.15	94396.0	0.29	V350018248_L03_15_1	0
32390416.0	28372301.0	87.59	4018115.0	12.41	96655.0	0.3	V350018248_L03_15_1	1
39281665.0	29690719.0	75.58	9590946.0	24.42	132644.0	0.34	V350018248_L03_16_1	0
39281665.0	34282356.0	87.27	4999309.0	12.73	135438.0	0.34	V350018248_L03_16_1	1
28016367.0	19565642.0	69.84	8450725.0	30.16	65032.0	0.23	V350018248_L03_25_1	0
28016367.0	22473442.0	80.22	5542925.0	19.78	66448.0	0.24	V350018248_L03_25_1	1
16643750.0	10584890.0	63.6	6058860.0	36.4	33901.0	0.2	V350018248_L03_26_1	0
16643750.0	12389982.0	74.44	4253768.0	25.56	34630.0	0.21	V350018248_L03_26_1	1
37725382.0	26027295.0	68.99	11698087.0	31.01	78504.0	0.21	V350018248_L03_27_1	0
37725382.0	29694048.0	78.71	8031334.0	21.29	80676.0	0.21	V350018248_L03_27_1	1
36575283.0	25205701.0	68.91	11369582.0	31.09	122142.0	0.33	V350018248_L03_28_1	0
36575283.0	28995081.0	79.28	7580202.0	20.72	124556.0	0.34	V350018248_L03_28_1	1
23761224.0	15696206.0	66.06	8065018.0	33.94	59862.0	0.25	V350018248_L03_29_1	0
23761224.0	18019679.0	75.84	5741545.0	24.16	61015.0	0.26	V350018248_L03_29_1	1
32212094.0	22921865.0	71.16	9290229.0	28.84	117858.0	0.37	V350018248_L03_30_1	0
32212094.0	26502091.0	82.27	5710003.0	17.73	120601.0	0.37	V350018248_L03_30_1	1
35383811.0	24459929.0	69.13	10923882.0	30.87	90602.0	0.26	V350018248_L03_31_1	0
35383811.0	27635489.0	78.1	7748322.0	21.9	92914.0	0.26	V350018248_L03_31_1	1
739380.0	428572.0	57.96	310808.0	42.04	1193.0	0.16	V350018248_L03_32_1	0
739380.0	502319.0	67.94	237061.0	32.06	1203.0	0.16	V350018248_L03_32_1	1
26922872.0	18994305.0	70.55	7928567.0	29.45	62427.0	0.23	V350018248_L04_1_1	0
26922872.0	21808708.0	81.0	5114164.0	19.0	64314.0	0.24	V350018248_L04_1_1	1
22383088.0	15072314.0	67.34	7310774.0	32.66	51104.0	0.23	V350018248_L04_2_1	0
22383088.0	17382691.0	77.66	5000397.0	22.34	52682.0	0.24	V350018248_L04_2_1	1
25731028.0	17402429.0	67.63	8328599.0	32.37	61767.0	0.24	V350018248_L04_3_1	0
25731028.0	19617749.0	76.24	6113279.0	23.76	63458.0	0.25	V350018248_L04_3_1	1
30291127.0	20700186.0	68.34	9590941.0	31.66	89582.0	0.3	V350018248_L04_4_1	0
30291127.0	23218341.0	76.65	7072786.0	23.35	91559.0	0.3	V350018248_L04_4_1	1
33911960.0	22504707.0	66.36	11407253.0	33.64	88665.0	0.26	V350018248_L04_13_1	0
33911960.0	25652717.0	75.65	8259243.0	24.35	90919.0	0.27	V350018248_L04_13_1	1
306893.0	251079.0	81.81	55814.0	18.19	302.0	0.1	V350018248_L04_14_1	0
306893.0	271536.0	88.48	35357.0	11.52	317.0	0.1	V350018248_L04_14_1	1
23709107.0	16074953.0	67.8	7634154.0	32.2	49701.0	0.21	V350018248_L04_15_1	0
23709107.0	17887477.0	75.45	5821630.0	24.55	50941.0	0.21	V350018248_L04_15_1	1
36499316.0	25127977.0	68.85	11371339.0	31.15	92439.0	0.25	V350018248_L04_16_1	0
