"Sample"	"3prime_overlapping_ncRNA"	"antisense"	"bidirectional_promoter_lncRNA"	"IG_C_gene"	"IG_C_pseudogene"	"IG_J_gene"	"IG_pseudogene"	"IG_V_gene"	"IG_V_pseudogene"	"lincRNA"	"macro_lncRNA"	"miRNA"	"misc_RNA"	"Mt_rRNA"	"Mt_tRNA"	"piRNA"	"polymorphic_pseudogene"	"processed_pseudogene"	"processed_transcript"	"protein_coding"	"pseudogene"	"ribozyme"	"rRNA"	"scaRNA"	"sense_intronic"	"sense_overlapping"	"snoRNA"	"snRNA"	"sRNA"	"TEC"	"TR_C_gene"	"TR_J_gene"	"TR_J_pseudogene"	"TR_V_gene"	"TR_V_pseudogene"	"transcribed_processed_pseudogene"	"transcribed_unitary_pseudogene"	"transcribed_unprocessed_pseudogene"	"translated_unprocessed_pseudogene"	"tRNA"	"unassigned"	"unitary_pseudogene"	"unprocessed_pseudogene"
"Li M1 10'"	0	0.015655920976481	0.00125121797549075	0.000179386089676093	0	0	0	0	4.48465224190232e-06	0.396201086963102	0	29.7819432025072	0.165689961729323	0.142620910596978	1.09012478230937	31.6351898642554	0.00025114052554653	0.0112161152569977	0.0619913479398158	4.11807676764923	0.0083145452564869	0.0414426713674194	2.41325415649903	0.178170748918537	1.3453956725707e-05	0.000210778655369409	21.0877766183955	0.809587361317175	0.000318410309175065	0.00476270068090026	1.79386089676093e-05	0	0	0	0	0.00245758942856247	0.00050228105109306	0.00272666856307661	1.79386089676093e-05	6.14738190711003	1.87568786156668	0.00178937624451903	0.00517080403491338
"Li M10 1h B"	0	0.0291071830148024	0.00227939812193544	0.000106327609186493	0	0	0	6.6454755741558e-06	0	0.38115789703128	0	29.4176795700537	0.188472332758633	0.583093963303152	0.516233833551571	27.4192521553935	0.000956948482678435	0.0478341331827734	0.0621617785206533	6.6940473551273	0.00431291364762711	0.0363906242440772	4.65368698959425	0.138511647392129	0	0.00053828352150662	21.8944828730145	1.3803317315079	0.000199364267224674	0.0122941298121882	6.6454755741558e-05	0	0	6.6454755741558e-06	0	0.00345564729856101	0.000544928997080775	0.00805431639587683	1.32909511483116e-05	3.45642481920319	3.04639897627778	0.00605402824805593	0.0158428137687874
"Li M11 30' K"	0	0.0286363693819262	0.00307104365457399	0	0	0	0	0	0	0.379910354010329	0	45.9234432434636	0.155688560923186	0.137636165179777	0.17313564951149	14.8729665017679	0.000560799276052643	0.0205448369703095	0.0490298795634596	6.72013783912111	0.00536765021364672	0.0459766390605063	3.31545422159903	0.160789163862522	0	0.000801141822932346	22.7633143984947	0.70389210720417	1.78031516207188e-05	0.0118568989793987	0.00014242521296575	0	0	0	0	0.00283070110769429	0.00153107103938182	0.00409472487276533	0	1.3784446205374	3.13189482681361	0.00169129940396829	0.00713906379990824
"Li M12 30' B"	0	0.024150011687891	0.0022418629838856	0.000127620283712653	0	0	0	8.50801891417685e-06	8.50801891417685e-06	0.460649668070277	0	29.4497927978344	0.150859937376727	0.295883373778328	0.312831347455369	29.5615328642437	0.000735943636076297	0.0260472999057524	0.0733008369550906	5.82293493896666	0.00703187763256717	0.0447691955263986	3.00604473473805	0.230244007855454	4.25400945708842e-06	0.000361590803852516	24.5580690370433	0.99865424410825	0.00162928562206487	0.00915888236111138	4.25400945708842e-05	0	0	8.50801891417685e-06	4.25400945708842e-06	0.00234395921085572	0.000557275238878584	0.00481979271488118	1.27620283712653e-05	2.51483000871859	2.42738459031868	0.00346276369806998	0.00946091703256466
"Li M13 2h K"	0	0.0282447304426856	0.00266992217983198	1.34392056031811e-05	0	0	0	8.95947040212074e-06	0	0.548933312332335	0	40.258856122911	0.166413203248991	0.132371695456133	0.192252315888707	17.9871447726776	0.000703318426566478	0.0144829839050282	0.0545586950137143	6.04179646699412	0.00538016197647351	0.0440985133192383	2.07842690335437	0.193479763333797	0	0.000577885840936788	27.1275203214228	0.722330422759779	0.000147831261634992	0.0101824381120102	4.47973520106037e-05	0	0	1.34392056031811e-05	0	0.00210099580929731	0.000783953660185565	0.00406311982736176	3.13581464074226e-05	2.10048511948439	2.27252934988112	0.00161718440758279	0.00773650269223126
"Li M14 2h B"	0	0.0169251401534588	0.00130565366898111	4.35217889660369e-05	0	0	0	0	4.83575432955966e-06	0.445440674313058	0	35.3752354347442	0.221085852193138	0.315716728668291	0.623275539782615	14.7580210294383	0.000406203363683011	0.0138689434171771	0.0759793720260413	5.49274958428229	0.00546923814673197	0.0369741776038131	2.64040407176317	0.21316005084699	0	0.000246623470807542	31.3223220305797	1.53030830786946	0.000304652522762258	0.00723912423135081	2.90145259773579e-05	0	0	9.67150865911931e-06	0	0.00154260563112953	0.000449725152649048	0.00318192634885025	0	4.60585289722373	2.27967130604101	0.00301267494731567	0.00976338799138094
"Li M15 10' K"	0	0.0251980559497711	0.0023792816771518	0.000119349080892728	0	0	0	1.1549911054135e-05	7.69994070275665e-06	0.598670389639329	0	37.1852812861488	0.262132931314296	0.155546502136387	0.305179449813057	12.7804154780204	0.000635245107977424	0.0135210958740407	0.0799292344649654	6.35515760893125	0.00902048053327941	0.0501304639452972	1.95850301756826	0.288709276649861	1.1549911054135e-05	0.000558245700949857	34.463556296153	1.00098459141766	0.00183643585760746	0.00787703933892005	4.61996442165399e-05	0	0	2.69497924596483e-05	0	0.00210978375255532	0.000554395730598479	0.00379607076645903	6.92994663248098e-05	2.19345130823148	2.24391286962699	0.00209053390079843	0.00857003400216815
"Li M16 10' B"	0	0.022457638374067	0.00191326447686427	7.80166097362128e-05	0	0	0	3.71507665410537e-06	3.71507665410537e-06	0.443338672517665	3.71507665410537e-06	33.1286499467165	0.169061993298373	0.216176595425738	0.312463952146841	25.0530540809281	0.000494105194996015	0.0250507618786325	0.0822592272752012	6.0438018682749	0.00795769419309371	0.0608938214374412	2.98419847871326	0.251350941186807	0	0.0003455021288318	24.9660098349224	1.14915865587784	0.00282345825712008	0.00971864052713966	5.20110731574752e-05	0	0	4.08658431951591e-05	0	0.00172008049085079	0.000679859027701283	0.00340301021516052	2.22904599246322e-05	2.18634490140094	2.8660516109594	0.00235535859870281	0.00806171633940866
"Li M17 2h K"	0	0.0121388934845816	0.00123821135726151	8.29159391023333e-05	0	0	0	5.52772927348888e-06	0	0.697831598943784	0	25.0684015039625	0.257299214493087	0.191264960591989	1.08348468716728	18.174598967387	0.000232164629486533	0.0110167644420633	0.0779022886512788	5.23068568551941	0.0109393762322345	0.042038381124883	2.85062234769185	0.299282318325235	5.52772927348888e-06	9.94991269227999e-05	38.1175074739046	1.21796328493272	0.000414579695511666	0.004726208528833	2.21109170939555e-05	0	0	0	0	0.00116082314743267	0.000210053712392578	0.00199551026772949	1.10554585469778e-05	4.78053505213284	1.85976581996042	0.00145932052820107	0.00505787228524233
"Li M18 1h K"	0	0.0196985122314074	0.00198640459476377	9.28603773974935e-05	0	0	0	8.074815425869e-06	4.0374077129345e-06	0.571030759878891	0	36.7602500092053	0.239313304776479	0.187271119356754	0.520724659775727	13.686319583107	0.000427965217571057	0.0133678569375261	0.0827628207074443	5.517089377871	0.0103922874530934	0.0476817850897564	2.19246984702424	0.293608363700023	4.0374077129345e-06	0.000294730763044218	32.5575064130184	1.12158378783778	0.00159881345432206	0.00714217424418113	2.01870385646725e-05	0	0	3.63366694164105e-05	0	0.00171589827799716	0.00040374077129345	0.00363366694164105	2.01870385646725e-05	3.80342378633909	2.34778488433311	0.00169974864714542	0.00863197769025396
