"Sample"	"3prime_overlapping_ncRNA"	"antisense"	"bidirectional_promoter_lncRNA"	"IG_C_gene"	"IG_C_pseudogene"	"IG_J_gene"	"IG_pseudogene"	"IG_V_gene"	"IG_V_pseudogene"	"lincRNA"	"macro_lncRNA"	"miRNA"	"misc_RNA"	"Mt_rRNA"	"Mt_tRNA"	"piRNA"	"polymorphic_pseudogene"	"processed_pseudogene"	"processed_transcript"	"protein_coding"	"pseudogene"	"ribozyme"	"rRNA"	"scaRNA"	"sense_intronic"	"sense_overlapping"	"snoRNA"	"snRNA"	"sRNA"	"TEC"	"TR_C_gene"	"TR_J_gene"	"TR_J_pseudogene"	"TR_V_gene"	"TR_V_pseudogene"	"transcribed_processed_pseudogene"	"transcribed_unitary_pseudogene"	"transcribed_unprocessed_pseudogene"	"translated_unprocessed_pseudogene"	"tRNA"	"unassigned"	"unitary_pseudogene"	"unmapped_reads"	"unprocessed_pseudogene"
"Li M1 10'"	0	0.0130282486466072	0.00104121494483054	0.000149278128291116	0	0	0	0	3.73195320727791e-06	0.329703138050174	0	24.7833750441303	0.13788074319609	0.118683575897852	0.907159453671906	26.3255748514123	0.000208989379607563	0.00933361497140204	0.0515867891842025	3.42690335211501	0.00691904124629324	0.0344869795884551	2.00821626818114	0.148266768971944	1.11958596218337e-05	0.000175401800742062	17.5484276907942	0.673707120790637	0.000264968677716731	0.00396333430612914	1.49278128291116e-05	0	0	0	0	0.00204511035758829	0.000417978759215125	0.00226902755002497	1.49278128291116e-05	5.11561217840826	1.56087450113116	0.00148904932970388	16.7838885608917	0.00430294204799143
"Li M10 1h B"	0	0.022773217386114	0.00178338209210893	8.31898352004165e-05	0	0	0	5.19936470002603e-06	0	0.298214761734693	0	23.0161473029933	0.147459182257438	0.456207856874384	0.403897048627422	21.4525943504015	0.000748708516803749	0.0374250271107874	0.0486348574040435	5.23736685661852	0.0033743876903169	0.0284717210973426	3.64100591276953	0.108370358442643	0	0.000421148540702109	17.1300609121173	1.07996004184241	0.000155980941000781	0.00961882469504816	5.19936470002603e-05	0	0	5.19936470002603e-06	0	0.00270366964401354	0.000426347905402135	0.00630163001643155	1.03987294000521e-05	2.70427796968344	2.38347716769183	0.00473662124172372	21.7608334872778	0.0123952854448621
"Li M11 30' K"	0	0.0220346435007699	0.00236305626601356	0	0	0	0	0	0	0.292327183702008	0	35.3364173614908	0.119796678529209	0.105906017348121	0.133221577895547	11.4442061524807	0.000431514622489433	0.0158085039477081	0.0377267069947904	5.17090136623694	0.00413021138668457	0.0353773496056813	2.55112129759598	0.123721406762327	0	0.000616449460699189	17.515541547084	0.54161934560876	1.36988769044264e-05	0.009123452018348	0.000109591015235411	0	0	0	0	0.0021781214278038	0.00117810341378067	0.00315074168801808	0	1.06066294207903	2.40987902727289	0.00130139330592051	23.0536413087441	0.005493249638675
"Li M12 30' B"	0	0.0205313285035345	0.00190593801679808	0.000108497420311086	0	0	0	7.2331613540724e-06	7.2331613540724e-06	0.391625055193542	0	25.0369804415679	0.128254800549735	0.251547652410576	0.265956109827888	25.1319771662116	0.000625668457127262	0.0221443234854926	0.0623173016460107	4.9504154131146	0.00597820785914084	0.038060895045129	2.55561333645951	0.195743812563907	3.6165806770362e-06	0.000307409357548077	20.8782417718178	0.84901401341831	0.00138515039930486	0.00778649819765894	3.6165806770362e-05	0	0	7.2331613540724e-06	3.6165806770362e-06	0.00199273595304695	0.000473772068691742	0.00409758590708201	1.08497420311086e-05	2.13800314910146	2.0636607167043	0.00294389667110747	14.984188128451	0.00804327542572851
"Li M13 2h K"	0	0.0233324850251149	0.00220557669706082	1.11018961261451e-05	0	0	0	7.40126408409672e-06	0	0.45346434853648	0	33.2571471879397	0.137471079098012	0.109349976210487	0.158816324716547	14.8588702910336	0.000580999230601592	0.0119641433919423	0.0450699976401069	4.99102393195041	0.00444445908250008	0.036429021821924	1.71695264349284	0.159830297896069	0	0.000477381533424238	22.4095769988844	0.596704712988045	0.000122120857387596	0.00841153663157592	3.70063204204836e-05	0	0	1.11018961261451e-05	0	0.00173559642772068	0.000647610607358463	0.00335647326213786	2.59044242943385e-05	1.73517455566789	1.87729732924275	0.00133592816717946	17.3917234846291	0.00639099153661751
"Li M14 2h B"	0	0.0131743066541202	0.00101630365617499	3.38767885391663e-05	0	0	0	0	3.76408761546292e-06	0.346725166610751	0	27.5356183377767	0.172090321691349	0.245749752238343	0.4851494886694	11.4874496096886	0.000316183359698885	0.0107954032811476	0.0591413446141534	4.27548408707494	0.00425718309308856	0.0287802139078295	2.05525582753222	0.165920982089605	0	0.000191968468388609	24.3808838100306	1.19117187452655	0.000237137519774164	0.00563483916034799	2.25845256927775e-05	0	0	7.52817523092583e-06	0	0.00120074394933267	0.000350060148238051	0.0024767696509746	0	3.58513536204858	1.77446618368153	0.0023450265844334	22.1613142658205	0.00759969289561963
"Li M15 10' K"	0	0.0208727281494427	0.0019708702821017	9.88624251539687e-05	0	0	0	9.5673314665131e-06	6.3782209776754e-06	0.495906681014262	0	30.8023074872724	0.217136965853492	0.128846441970021	0.252794410229187	10.5866158262925	0.00052620323065822	0.011200156036798	0.0662091228587595	5.26427425125586	0.00747208587534673	0.0415254076751557	1.62231964033467	0.239151395557939	9.5673314665131e-06	0.000462421020881466	28.5477753945201	0.829162348876824	0.00152120570317558	0.00652492006016193	3.82693258660524e-05	0	0	2.23237734218639e-05	0	0.00174763254788306	0.000459231910392629	0.00314446294199397	5.74039887990786e-05	1.81693829702648	1.85873796820368	0.00173168699543887	17.1653234239591	0.00709895994815272
"Li M16 10' B"	0	0.0182140658025235	0.00155173596167074	6.32746702817193e-05	0	0	0	3.01307953722473e-06	3.01307953722473e-06	0.359565846574713	3.01307953722473e-06	26.8686938505096	0.137116210500486	0.17532808519157	0.25342108063736	20.3190543895808	0.000400739578450889	0.0203171953195064	0.06671560711323	4.90177119662284	0.00645401636873537	0.0493873866946505	2.4203073606279	0.203855922250014	0	0.0002802163969619	20.2484579360236	0.932014801692965	0.00228994044829079	0.00788221606937989	4.21831135211462e-05	0	0	3.3143874909472e-05	0	0.00139505582573505	0.000551393555312125	0.00275998085609785	1.80784772233484e-05	1.77321538613398	2.32448540518508	0.00191029242660048	18.8958985840816	0.00653838259577766
"Li M17 2h K"	0	0.00998175012443097	0.00101817487608039	6.81813533089547e-05	0	0	0	4.54542355393031e-06	0	0.573823360295271	0	20.6136185435099	0.211575830164794	0.157276200389543	0.890943925382327	14.9448799212733	0.000190907789265073	0.00905902914298311	0.0640586541455399	4.30116612841276	0.00899539321322809	0.03456794612764	2.34405219964409	0.246098322056895	4.54542355393031e-06	8.18176239707457e-05	31.3438317466017	1.00152498960234	0.000340906766544774	0.00388633713861042	1.81816942157213e-05	0	0	0	0	0.000954538946325366	0.000172726095049352	0.00164089790296884	9.09084710786063e-06	3.93100956129845	1.52927593675498	0.0011999918182376	17.7705106556092	0.00415906255184624
"Li M18 1h K"	0	0.0158136023882137	0.00159464898032407	7.45465986736864e-05	0	0	0	6.48231292814664e-06	3.24115646407332e-06	0.45841296449621	0	29.5104508659317	0.192116308251482	0.150337801429577	0.418028154953856	10.9871249921199	0.000343562585191772	0.0107314690525468	0.066440466357039	4.42901762006094	0.00834273673852473	0.0382780578407059	1.76007436509391	0.23570338038034	3.24115646407332e-06	0.000236604421877352	26.1365658034981	0.90038678340664	0.00128349795977303	0.0057336057849457	1.62057823203666e-05	0	0	2.91704081766599e-05	0	0.00137749149723116	0.000324115646407332	0.00291704081766599	1.62057823203666e-05	3.05331848235441	1.88475841311035	0.00136452687137487	19.7218439522532	0.00692959252018876
